cod;nome;período;valor
27;AL;2000;727
28;SE;2000;410
29;BA;2000;1242
31;MG;2000;2109
32;ES;2000;1435
33;RJ;2000;7350
35;SP;2000;15591
41;PR;2000;1789
42;SC;2000;433
43;RS;2000;1668
17;TO;2000;176
51;MT;2000;990
52;GO;2000;1085
53;DF;2000;687
11;RO;2001;573
12;AC;2001;121
13;AM;2001;485
14;RR;2001;108
15;PA;2001;966
16;AP;2001;182
17;TO;2001;212
42;SC;2001;477
21;MA;2001;563
22;PI;2001;262
23;CE;2001;1284
24;RN;2001;322
25;PB;2001;484
26;PE;2001;4710
27;AL;2001;830
28;SE;2001;518
29;BA;2001;1622
31;MG;2001;2366
32;ES;2001;1452
33;RJ;2001;7362
35;SP;2001;15773
41;PR;2001;2052
43;RS;2001;1854
50;MS;2001;621
51;MT;2001;973
52;GO;2001;1167
53;DF;2001;693
27;AL;2002;991
11;RO;2002;615
12;AC;2002;151
13;AM;2002;513
14;RR;2002;122
15;PA;2002;1192
16;AP;2002;181
17;TO;2002;170
21;MA;2002;606
22;PI;2002;308
23;CE;2002;1445
24;RN;2002;299
25;PB;2002;607
26;PE;2002;4396
28;SE;2002;556
29;BA;2002;1759
31;MG;2002;2994
32;ES;2002;1644
33;RJ;2002;8335
35;SP;2002;14526
41;PR;2002;2266
42;SC;2002;585
43;RS;2002;1912
50;MS;2002;684
51;MT;2002;948
52;GO;2002;1370
53;DF;2002;641
11;RO;2003;566
12;AC;2003;147
13;AM;2003;558
14;RR;2003;106
15;PA;2003;1405
16;AP;2003;185
17;TO;2003;204
21;MA;2003;795
22;PI;2003;298
23;CE;2003;1563
24;RN;2003;405
25;PB;2003;616
26;PE;2003;4517
27;AL;2003;1039
28;SE;2003;469
29;BA;2003;2166
31;MG;2003;3869
32;ES;2003;1629
33;RJ;2003;8115
35;SP;2003;14048
41;PR;2003;2555
42;SC;2003;670
43;RS;2003;1908
50;MS;2003;705
51;MT;2003;908
52;GO;2003;1346
53;DF;2003;742
11;RO;2004;563
12;AC;2004;114
13;AM;2004;526
14;RR;2004;85
15;PA;2004;1519
16;AP;2004;172
17;TO;2004;198
21;MA;2004;732
22;PI;2004;327
23;CE;2004;1582
24;RN;2004;344
25;PB;2004;675
26;PE;2004;4174
27;AL;2004;1035
28;SE;2004;454
29;BA;2004;2262
31;MG;2004;4286
32;ES;2004;1619
33;RJ;2004;7731
35;SP;2004;11336
41;PR;2004;2826
42;SC;2004;638
43;RS;2004;1982
50;MS;2004;656
51;MT;2004;853
52;GO;2004;1524
53;DF;2004;696
11;RO;2005;555
12;AC;2005;124
13;AM;2005;599
14;RR;2005;95
15;PA;2005;1926
16;AP;2005;196
17;TO;2005;190
21;MA;2005;935
22;PI;2005;368
23;CE;2005;1699
24;RN;2005;406
25;PB;2005;745
26;PE;2005;4330
27;AL;2005;1203
28;SE;2005;487
29;BA;2005;2881
31;MG;2005;4223
32;ES;2005;1602
33;RJ;2005;7408
35;SP;2005;8870
41;PR;2005;2977
42;SC;2005;633
43;RS;2005;2021
50;MS;2005;631
51;MT;2005;907
52;GO;2005;1468
53;DF;2005;657
24;RN;2006;455
53;DF;2006;660
52;GO;2006;1509
51;MT;2006;896
50;MS;2006;683
43;RS;2006;1983
42;SC;2006;666
41;PR;2006;3098
35;SP;2006;8377
33;RJ;2006;7389
32;ES;2006;1762
31;MG;2006;4177
29;BA;2006;3311
28;SE;2006;585
27;AL;2006;1620
26;PE;2006;4472
25;PB;2006;825
23;CE;2006;1792
22;PI;2006;418
21;MA;2006;969
17;TO;2006;229
16;AP;2006;202
15;PA;2006;2073
14;RR;2006;111
13;AM;2006;699
12;AC;2006;158
11;RO;2006;585
23;CE;2007;1933
53;DF;2007;711
52;GO;2007;1521
51;MT;2007;889
50;MS;2007;710
43;RS;2007;2199
42;SC;2007;632
41;PR;2007;3105
35;SP;2007;6437
33;RJ;2007;6551
32;ES;2007;1877
31;MG;2007;4125
29;BA;2007;3659
28;SE;2007;522
27;AL;2007;1836
26;PE;2007;4557
25;PB;2007;864
24;RN;2007;589
22;PI;2007;383
21;MA;2007;1127
17;TO;2007;226
16;AP;2007;172
15;PA;2007;2194
14;RR;2007;116
13;AM;2007;715
12;AC;2007;137
11;RO;2007;432
51;MT;2008;937
53;DF;2008;812
42;SC;2008;802
